
Récapitulatif de mes index

Date de relevé de l'index;Type d'index;Index (kWh)
05/05/2025;Index transmis par le distributeur;15620
04/05/2025;Index transmis par le distributeur;15616
03/05/2025;Index transmis par le distributeur;15612
02/05/2025;Index transmis par le distributeur;15608
01/05/2025;Index transmis par le distributeur;15602
30/04/2025;Index transmis par le distributeur;15599
29/04/2025;Index transmis par le distributeur;15594
28/04/2025;Index transmis par le distributeur;15589
27/04/2025;Index transmis par le distributeur;15583
26/04/2025;Index transmis par le distributeur;15576
25/04/2025;Index transmis par le distributeur;15571
24/04/2025;Index transmis par le distributeur;15565
23/04/2025;Index transmis par le distributeur;15559
22/04/2025;Index transmis par le distributeur;15554
21/04/2025;Index transmis par le distributeur;15547
20/04/2025;Index transmis par le distributeur;15538
19/04/2025;Index transmis par le distributeur;15529
18/04/2025;Index transmis par le distributeur;15522
17/04/2025;Index transmis par le distributeur;15513
16/04/2025;Index transmis par le distributeur;15504
15/04/2025;Index transmis par le distributeur;15497
14/04/2025;Index transmis par le distributeur;15487
13/04/2025;Index transmis par le distributeur;15478
12/04/2025;Index transmis par le distributeur;15471
11/04/2025;Index transmis par le distributeur;15467
10/04/2025;Index transmis par le distributeur;15461
09/04/2025;Index transmis par le distributeur;15455
08/04/2025;Index transmis par le distributeur;15451
07/04/2025;Index transmis par le distributeur;15443
06/04/2025;Index transmis par le distributeur;15438
05/04/2025;Index transmis par le distributeur;15435
04/04/2025;Index transmis par le distributeur;15430
03/04/2025;Index transmis par le distributeur;15424
02/04/2025;Index transmis par le distributeur;15419
01/04/2025;Index transmis par le distributeur;15413
31/03/2025;Index transmis par le distributeur;15406
30/03/2025;Index transmis par le distributeur;15403
29/03/2025;Index transmis par le distributeur;15391
28/03/2025;Index transmis par le distributeur;15384
27/03/2025;Index transmis par le distributeur;15376
27/02/2025;Index transmis par le distributeur;15010
27/01/2025;Index transmis par le distributeur;14512
27/12/2024;Index transmis par le distributeur;13881
27/11/2024;Index transmis par le distributeur;13402
27/10/2024;Index transmis par le distributeur;12994
27/09/2024;Index transmis par le distributeur;12706
27/08/2024;Index transmis par le distributeur;12500
27/07/2024;Index transmis par le distributeur;12343
27/06/2024;Index transmis par le distributeur;12189
27/05/2024;Index transmis par le distributeur;12021
27/04/2024;Index transmis par le distributeur;11812
27/03/2024;Index transmis par le distributeur;11517
27/02/2024;Index transmis par le distributeur;11207
27/01/2024;Index transmis par le distributeur;10869
27/12/2023;Index transmis par le distributeur;10364
27/11/2023;Index transmis par le distributeur;9984
27/10/2023;Index transmis par le distributeur;9700
27/09/2023;Index transmis par le distributeur;9531
27/08/2023;Index transmis par le distributeur;9342
27/07/2023;Index transmis par le distributeur;9160
27/06/2023;Index transmis par le distributeur;9000
27/05/2023;Index transmis par le distributeur;8841
27/04/2023;Index transmis par le distributeur;8676
30/03/2023;Index transmis par le distributeur;8484
29/03/2023;Index transmis par le distributeur;8484
27/03/2023;Index transmis par le distributeur;8464
27/02/2023;Index transmis par le distributeur;8200
27/01/2023;Index transmis par le distributeur;7788
27/12/2022;Index transmis par le distributeur;7317
27/11/2022;Index transmis par le distributeur;6745
27/10/2022;Index transmis par le distributeur;6443
27/09/2022;Index transmis par le distributeur;6207
27/08/2022;Index transmis par le distributeur;6033
27/07/2022;Index transmis par le distributeur;5859
27/06/2022;Index transmis par le distributeur;5697
27/05/2022;Index transmis par le distributeur;5538

