
Récapitulatif de ma Puissance max


Puissance max quotidienne

Date de la puissance max;Puissance max (VA)
14/04/2025;3650
13/04/2025;3870
12/04/2025;3400
11/04/2025;3790
10/04/2025;2420
09/04/2025;3400
08/04/2025;3900
07/04/2025;2630
06/04/2025;1630
04/04/2025;2260
03/04/2025;2190
02/04/2025;2170
01/04/2025;1910
31/03/2025;2980
30/03/2025;3130
29/03/2025;4040
28/03/2025;3550
27/03/2025;2860
26/03/2025;3120


Puissance max mensuelle

Date de la puissance max;Puissance max mensuelle (VA) recalculée à partir des Pmax journalières disponibles
04/2025;3900
03/2025;4040


Puissance max annuelle

Date de la puissance max;Puissance max annuelle (VA) recalculée à partir des Pmax mensuelles disponibles
2025;4040

